# X	Y	Z	rgb
45.9294	10.0083	8.92377	13751251
58.3081	10.9092	15.9523	4342338
48.7665	1.12177	9.71915	16382717
62.3928	6.88693	17.6124	6118746
54.4617	6.18078	12.0816	3027508
44.5809	10.4776	8.69971	11516088
46.733	11.6949	9.1081	10263708
63.6407	6.75823	18.3754	14014158
62.4622	6.46129	17.7888	13882318
55.3825	8.13885	12.0241	6776941
59.5915	7.99191	16.5436	5921116
63.6509	6.49359	18.7992	7172200
40.0303	9.35166	11.4699	16184044
46.5547	13.5986	12.4829	9211280
59.8593	3.45515	16.7661	6711397
38.8533	8.55095	8.68503	3948094
39.4461	9.04983	11.4656	3156513
40.0482	9.65604	9.38657	15790831
40.3922	9.46832	11.5688	16117736
63.7	6.7115	18.4249	14540248
63.5892	7.33368	18.6122	9672080
48.4756	1.15516	9.67652	16645887
59.4856	8.06077	16.3111	12236982
60.3035	11.3937	16.5932	2500134
60.4516	8.19014	16.7606	5723737
55.1348	6.2873	12.2983	2895922
58.7193	3.45332	16.4879	6777960
39.1776	8.9901	11.3603	3354157
58.8215	9.26543	11.7243	2500396
41.7448	11.9929	10.0433	13027276
39.8244	9.62619	9.36961	16646140
55.5348	6.78793	14.892	6842469
36.6526	8.63021	8.66791	7370100
36.0586	8.46986	8.53693	6514791
57.9065	7.73328	15.8698	13355463
63.1159	7.02907	17.8431	8026743
40.3093	9.5048	11.4954	16447734
59.4756	11.1598	16.4677	3355443
60.3874	8.18146	16.7628	5723737
38.9987	8.9636	11.2866	3354157
55.8716	6.90542	14.8859	6645093
41.0444	10.0245	9.63944	16777215
55.182	6.38481	12.2584	2105636
59.7969	3.55701	16.8609	7632497
40.3302	8.78698	8.98694	4540231
38.7462	8.84863	8.52126	5592919
33.5373	7.83771	8.21696	13027525
55.9628	10.1969	15.2858	13553355
53.786	9.67747	14.4628	11513521
55.9146	6.81968	14.9417	5723988
54.6077	6.79486	14.2268	3355705
55.2489	6.34813	12.3347	2434601
40.131	9.72554	9.43741	16646140
34.5045	7.71856	8.10372	3949123
35.3535	8.25109	8.38058	6054240
55.9073	6.68685	14.0326	9607062
53.463	6.39694	13.8077	7106928
55.4442	6.6319	13.9713	9607062
34.2384	7.25288	8.45464	5132884
35.6587	8.38825	8.7139	13882834
53.5271	1.23964	0.998263	12303805
57.5223	5.19469	4.51176	4342338
45.4494	9.72631	8.05723	11975358
42.6822	8.72973	7.5911	7238775
42.4896	9.98645	7.52105	3818057
55.552	0.646328	1.10515	13882837
44.6981	9.52612	7.85114	13687005
42.2269	8.68073	7.44101	10857136
57.6434	4.48171	4.55694	9738394
57.9848	2.57442	1.0132	4409415
56.0106	2.11149	0.577731	12041403
57.5794	2.78126	0.592404	11909044
44.023	10.5095	7.85327	12042182
51.2615	0.199934	0.62415	13094091
54.525	1.84069	1.12003	13224653
57.627	2.78242	0.750697	11579565
56.3593	2.23184	0.786916	13752018
